payment_id,payment_datetime,method,order_datetime,type,order_id,table_id,menu_item_id,menu_item_name,Menu_Category,menu_category_id,price,Items_Sold,Revenue,recipe_id,recipe_name,inventory_used,total,table_status
P00011,03/05/2025,Online,03/05/2025,Delivery,O00011,T99,M011,Menu Item M011,Dessert,1,7.25,1,7.25,R011,Recipe R011,Chicken - 200g,7.25,reserved
P00012,03/05/2025,Cash,03/05/2025,Dine-in,O00012,T10,M012,Menu Item M012,Appetizer,2,5.16,1,5.16,R012,Recipe R012,Butter - 20g; Flour - 100g,5.16,reserved
P00013,03/05/2025,Cash,03/05/2025,Dine-in,O00013,T10,M013,Menu Item M013,Dessert,1,7.24,1,7.24,R013,Recipe R013,Milk - 200ml,7.24,dirty
P00014,03/05/2025,Credit Card,03/05/2025,Takeout,O00014,T21,M014,Menu Item M014,Beverage,4,3.85,3,11.56,R014,Recipe R014,Eggs - 2pcs,11.56,reserved
P00015,03/05/2025,Credit Card,03/05/2025,Takeout,O00015,T03,M015,Menu Item M015,Appetizer,2,10.91,3,32.74,R015,Recipe R015,Sugar - 10g; Salt - 5g,32.74,available
P00016,03/05/2025,Online,03/05/2025,Delivery,O00016,T99,M016,Menu Item M016,Dessert,1,4.79,1,4.79,R001,Recipe R001,Milk - 200ml,4.79,dirty
P00017,03/05/2025,Online,03/05/2025,Delivery,O00017,T16,M017,Menu Item M017,Main Course,3,20.05,2,40.09,R002,Recipe R002,Flour - 100g; Cheese - 50g,40.09,available
P00018,03/05/2025,Credit Card,03/05/2025,Takeout,O00018,T68,M018,Menu Item M018,Beverage,4,3.02,2,6.03,R003,Recipe R003,Lettuce - 30g; Milk - 200ml; Salt - 5g,6.03,available
P00019,03/05/2025,Online,03/05/2025,Delivery,O00019,T46,M019,Menu Item M019,Dessert,1,7.37,3,22.11,R004,Recipe R004,Salt - 5g,22.11,available
P00020,03/05/2025,Cash,03/05/2025,Dine-in,O00020,T10,M020,Menu Item M020,Beverage,4,3.62,4,14.49,R005,Recipe R005,Milk - 200ml,14.49,available
P00021,03/05/2025,Cash,03/05/2025,Dine-in,O00021,T10,M001,Menu Item M001,Appetizer,2,14.07,3,42.2,R006,Recipe R006,Milk - 200ml; Tomato - 100g,42.2,dirty
P00022,03/05/2025,Cash,03/05/2025,Dine-in,O00022,T10,M002,Menu Item M002,Dessert,1,6.39,3,19.18,R007,Recipe R007,Lettuce - 30g; Cheese - 50g; Rice - 150g,19.18,dirty
P00023,03/05/2025,Cash,03/05/2025,Dine-in,O00023,T10,M003,Menu Item M003,Beverage,4,4.02,3,12.06,R008,Recipe R008,Butter - 20g,12.06,available
P00024,03/05/2025,Cash,03/05/2025,Dine-in,O00024,T10,M004,Menu Item M004,Main Course,3,32.41,4,129.63,R009,Recipe R009,Butter - 20g; Tomato - 100g,129.63,available
P00025,03/05/2025,Online,03/05/2025,Delivery,O00025,T56,M005,Menu Item M005,Dessert,1,3.23,1,3.23,R010,Recipe R010,Chicken - 200g,3.23,dirty
P00026,03/05/2025,Credit Card,03/05/2025,Takeout,O00026,T67,M006,Menu Item M006,Main Course,3,26.2,2,52.39,R011,Recipe R011,Beef - 250g; Milk - 200ml; Cheese - 50g,52.39,dirty
P00027,03/05/2025,Cash,03/05/2025,Dine-in,O00027,T10,M007,Menu Item M007,Beverage,4,6.92,3,20.75,R012,Recipe R012,Milk - 200ml; Butter - 20g; Tomato - 100g,20.75,dirty
P00028,03/05/2025,Cash,03/05/2025,Dine-in,O00028,T10,M008,Menu Item M008,Dessert,1,6.56,4,26.23,R013,Recipe R013,Cheese - 50g; Tomato - 100g; Milk - 200ml,26.23,reserved
P00029,03/05/2025,Online,03/05/2025,Delivery,O00029,T93,M009,Menu Item M009,Beverage,4,3.74,3,11.23,R014,Recipe R014,Sugar - 10g; Milk - 200ml; Butter - 20g,11.23,reserved
P00030,03/05/2025,Cash,03/05/2025,Dine-in,O00030,T10,M010,Menu Item M010,Appetizer,2,8.98,1,8.98,R015,Recipe R015,Rice - 150g,8.98,reserved
P00031,03/05/2025,Online,03/05/2025,Delivery,O00031,T16,M011,Menu Item M011,Main Course,3,32.39,3,97.18,R001,Recipe R001,Tomato - 100g; Sugar - 10g,97.18,available
P00032,03/05/2025,Online,03/05/2025,Delivery,O00032,T34,M012,Menu Item M012,Beverage,4,4.79,4,19.17,R002,Recipe R002,Salt - 5g; Beef - 250g; Chicken - 200g,19.17,reserved
P00033,03/05/2025,Online,03/05/2025,Delivery,O00033,T13,M013,Menu Item M013,Dessert,1,8.93,1,8.93,R003,Recipe R003,Cheese - 50g; Milk - 200ml; Chicken - 200g,8.93,available
P00034,03/05/2025,Credit Card,03/05/2025,Takeout,O00034,T93,M014,Menu Item M014,Appetizer,2,13.51,4,54.04,R004,Recipe R004,Beef - 250g,54.04,available
P00035,03/05/2025,Credit Card,03/05/2025,Takeout,O00035,T58,M015,Menu Item M015,Beverage,4,3.52,2,7.05,R005,Recipe R005,Lettuce - 30g; Eggs - 2pcs; Chicken - 200g,7.05,reserved
P00036,03/05/2025,Credit Card,03/05/2025,Takeout,O00036,T71,M016,Menu Item M016,Dessert,1,3.13,4,12.51,R006,Recipe R006,Cheese - 50g; Salt - 5g; Chicken - 200g,12.51,available
P00037,03/05/2025,Cash,03/05/2025,Dine-in,O00037,T10,M017,Menu Item M017,Beverage,4,4.71,4,18.85,R007,Recipe R007,Milk - 200ml; Rice - 150g,18.85,reserved
P00038,03/05/2025,Credit Card,03/05/2025,Takeout,O00038,T87,M018,Menu Item M018,Main Course,3,29.75,3,89.24,R008,Recipe R008,Cheese - 50g; Eggs - 2pcs; Sugar - 10g,89.24,reserved
P00039,03/05/2025,Online,03/05/2025,Delivery,O00039,T33,M019,Menu Item M019,Dessert,1,7.68,2,15.36,R009,Recipe R009,Flour - 100g,15.36,dirty
P00040,03/05/2025,Cash,03/05/2025,Dine-in,O00040,T10,M020,Menu Item M020,Beverage,4,6.97,3,20.92,R010,Recipe R010,Salt - 5g,20.92,reserved
P00041,03/05/2025,Credit Card,03/05/2025,Takeout,O00041,T20,M001,Menu Item M001,Main Course,3,33.69,1,33.69,R011,Recipe R011,Chicken - 200g,33.69,dirty
P00042,03/05/2025,Credit Card,03/05/2025,Takeout,O00042,T68,M002,Menu Item M002,Dessert,1,5.14,3,15.42,R012,Recipe R012,Cheese - 50g; Rice - 150g; Salt - 5g,15.42,reserved
P00043,03/05/2025,Cash,03/05/2025,Dine-in,O00043,T10,M003,Menu Item M003,Dessert,1,8.91,4,35.64,R013,Recipe R013,Beef - 250g,35.64,reserved
P00044,03/05/2025,Cash,03/05/2025,Dine-in,O00044,T10,M004,Menu Item M004,Main Course,3,23.96,4,95.86,R014,Recipe R014,Chicken - 200g; Milk - 200ml; Flour - 100g,95.86,dirty
P00045,03/05/2025,Cash,03/05/2025,Dine-in,O00045,T10,M005,Menu Item M005,Beverage,4,3.48,1,3.48,R015,Recipe R015,Cheese - 50g; Rice - 150g,3.48,dirty
P00046,03/05/2025,Credit Card,03/05/2025,Takeout,O00046,T15,M006,Menu Item M006,Main Course,3,17.04,1,17.04,R001,Recipe R001,Cheese - 50g; Tomato - 100g; Beef - 250g,17.04,reserved
P00047,03/05/2025,Cash,03/05/2025,Dine-in,O00047,T10,M007,Menu Item M007,Beverage,4,2.14,4,8.55,R002,Recipe R002,Salt - 5g; Flour - 100g,8.55,available
P00048,03/05/2025,Credit Card,03/05/2025,Takeout,O00048,T61,M008,Menu Item M008,Beverage,4,6.91,3,20.73,R003,Recipe R003,Cheese - 50g,20.73,dirty
P00049,03/05/2025,Online,03/05/2025,Delivery,O00049,T40,M009,Menu Item M009,Main Course,3,15.97,2,31.94,R004,Recipe R004,Milk - 200ml; Flour - 100g; Beef - 250g,31.94,available
P00050,03/05/2025,Cash,03/05/2025,Dine-in,O00050,T10,M010,Menu Item M010,Beverage,4,6.21,1,6.21,R005,Recipe R005,Milk - 200ml,6.21,available
P00051,03/05/2025,Cash,03/05/2025,Dine-in,O00051,T10,M011,Menu Item M011,Main Course,3,18.46,3,55.38,R006,Recipe R006,Beef - 250g; Cheese - 50g; Lettuce - 30g,55.38,available
P00052,03/05/2025,Online,03/05/2025,Delivery,O00052,T43,M012,Menu Item M012,Dessert,1,8.21,1,8.21,R007,Recipe R007,Milk - 200ml; Beef - 250g; Sugar - 10g,8.21,dirty
P00053,03/05/2025,Cash,03/05/2025,Dine-in,O00053,T10,M013,Menu Item M013,Main Course,3,32.21,3,96.64,R008,Recipe R008,Rice - 150g,96.64,available
P00054,03/05/2025,Credit Card,03/05/2025,Takeout,O00054,T57,M014,Menu Item M014,Beverage,4,5.19,2,10.38,R009,Recipe R009,Chicken - 200g; Milk - 200ml,10.38,dirty
P00055,03/05/2025,Credit Card,03/05/2025,Takeout,O00055,T95,M015,Menu Item M015,Beverage,4,4.83,3,14.49,R010,Recipe R010,Lettuce - 30g; Flour - 100g; Sugar - 10g,14.49,available
P00056,03/05/2025,Cash,03/05/2025,Dine-in,O00056,T10,M016,Menu Item M016,Main Course,3,17.29,1,17.29,R011,Recipe R011,Rice - 150g; Tomato - 100g; Sugar - 10g,17.29,reserved
P00057,03/05/2025,Online,03/05/2025,Delivery,O00057,T58,M017,Menu Item M017,Appetizer,2,5.17,4,20.69,R012,Recipe R012,Tomato - 100g; Cheese - 50g,20.69,reserved
P00058,03/05/2025,Credit Card,03/05/2025,Takeout,O00058,T74,M018,Menu Item M018,Appetizer,2,5.48,3,16.44,R013,Recipe R013,Butter - 20g; Rice - 150g,16.44,dirty
P00059,03/05/2025,Cash,03/05/2025,Dine-in,O00059,T10,M019,Menu Item M019,Dessert,1,7.79,2,15.58,R014,Recipe R014,Tomato - 100g,15.58,reserved
P00060,03/05/2025,Online,03/05/2025,Delivery,O00060,T58,M020,Menu Item M020,Main Course,3,30.91,1,30.91,R015,Recipe R015,Butter - 20g; Chicken - 200g; Sugar - 10g,30.91,reserved
P00061,03/05/2025,Credit Card,03/05/2025,Takeout,O00061,T40,M001,Menu Item M001,Appetizer,2,13.11,1,13.11,R001,Recipe R001,Milk - 200ml; Sugar - 10g; Lettuce - 30g,13.11,available
P00062,03/05/2025,Credit Card,03/05/2025,Takeout,O00062,T40,M002,Menu Item M002,Dessert,1,5.64,4,22.56,R002,Recipe R002,Sugar - 10g; Flour - 100g,22.56,dirty
P00063,03/05/2025,Credit Card,03/05/2025,Takeout,O00063,T65,M003,Menu Item M003,Dessert,1,7.77,1,7.77,R003,Recipe R003,Beef - 250g,7.77,available
P00064,03/05/2025,Cash,03/05/2025,Dine-in,O00064,T10,M004,Menu Item M004,Dessert,1,9.56,4,38.23,R004,Recipe R004,Rice - 150g; Butter - 20g,38.23,available
P00065,03/05/2025,Credit Card,03/05/2025,Takeout,O00065,T13,M005,Menu Item M005,Appetizer,2,10.48,1,10.48,R005,Recipe R005,Salt - 5g; Rice - 150g,10.48,available
P00066,03/05/2025,Online,03/05/2025,Delivery,O00066,T18,M006,Menu Item M006,Beverage,4,4.81,2,9.62,R006,Recipe R006,Beef - 250g; Tomato - 100g; Chicken - 200g,9.62,available
P00067,03/05/2025,Cash,03/05/2025,Dine-in,O00067,T10,M007,Menu Item M007,Dessert,1,5.64,1,5.64,R007,Recipe R007,Tomato - 100g,5.64,available
P00068,03/05/2025,Credit Card,03/05/2025,Takeout,O00068,T24,M008,Menu Item M008,Appetizer,2,7.98,2,15.95,R008,Recipe R008,Lettuce - 30g; Beef - 250g,15.95,available
P00069,03/05/2025,Online,03/05/2025,Delivery,O00069,T40,M009,Menu Item M009,Appetizer,2,14.57,3,43.7,R009,Recipe R009,Butter - 20g; Salt - 5g,43.7,available
P00070,03/05/2025,Cash,03/05/2025,Dine-in,O00070,T10,M010,Menu Item M010,Appetizer,2,11.02,3,33.07,R010,Recipe R010,Tomato - 100g; Lettuce - 30g,33.07,dirty
P00071,03/05/2025,Online,03/05/2025,Delivery,O00071,T27,M011,Menu Item M011,Dessert,1,9.97,1,9.97,R011,Recipe R011,Lettuce - 30g; Butter - 20g; Eggs - 2pcs,9.97,reserved
P00072,03/05/2025,Online,03/05/2025,Delivery,O00072,T29,M012,Menu Item M012,Appetizer,2,12.06,3,36.17,R012,Recipe R012,Beef - 250g,36.17,available
P00073,03/05/2025,Online,03/05/2025,Delivery,O00073,T19,M013,Menu Item M013,Main Course,3,20.56,3,61.69,R013,Recipe R013,Flour - 100g; Salt - 5g; Eggs - 2pcs,61.69,available
P00074,03/05/2025,Cash,03/05/2025,Dine-in,O00074,T10,M014,Menu Item M014,Appetizer,2,7.33,1,7.33,R014,Recipe R014,Cheese - 50g,7.33,available
P00075,03/05/2025,Cash,03/05/2025,Dine-in,O00075,T10,M015,Menu Item M015,Dessert,1,7.96,1,7.96,R015,Recipe R015,Lettuce - 30g; Eggs - 2pcs; Butter - 20g,7.96,available
P00076,03/05/2025,Cash,03/05/2025,Dine-in,O00076,T10,M016,Menu Item M016,Dessert,1,6.04,3,18.12,R001,Recipe R001,Sugar - 10g; Salt - 5g; Rice - 150g,18.12,available
P00077,03/05/2025,Credit Card,03/05/2025,Takeout,O00077,T20,M017,Menu Item M017,Main Course,3,34.18,2,68.36,R002,Recipe R002,Rice - 150g,68.36,available
P00078,03/05/2025,Credit Card,03/05/2025,Takeout,O00078,T30,M018,Menu Item M018,Beverage,4,4.64,2,9.28,R003,Recipe R003,Milk - 200ml; Butter - 20g; Eggs - 2pcs,9.28,reserved
P00079,03/05/2025,Credit Card,03/05/2025,Takeout,O00079,T100,M019,Menu Item M019,Main Course,3,28.9,4,115.6,R004,Recipe R004,Tomato - 100g,115.6,reserved
P00080,03/05/2025,Online,03/05/2025,Delivery,O00080,T28,M020,Menu Item M020,Beverage,4,2.83,1,2.83,R005,Recipe R005,Lettuce - 30g; Salt - 5g; Eggs - 2pcs,2.83,available
P00081,03/05/2025,Cash,03/05/2025,Dine-in,O00081,T10,M001,Menu Item M001,Dessert,1,5.69,3,17.07,R006,Recipe R006,Sugar - 10g; Lettuce - 30g; Chicken - 200g,17.07,reserved
P00082,03/05/2025,Online,03/05/2025,Delivery,O00082,T78,M002,Menu Item M002,Main Course,3,24.86,4,99.45,R007,Recipe R007,Sugar - 10g; Beef - 250g; Salt - 5g,99.45,dirty
P00083,03/05/2025,Cash,03/05/2025,Dine-in,O00083,T10,M003,Menu Item M003,Beverage,4,3.8,2,7.6,R008,Recipe R008,Cheese - 50g,7.6,available
P00084,03/05/2025,Cash,03/05/2025,Dine-in,O00084,T10,M004,Menu Item M004,Dessert,1,5.88,2,11.76,R009,Recipe R009,Eggs - 2pcs; Lettuce - 30g,11.76,dirty
P00085,03/05/2025,Cash,03/05/2025,Dine-in,O00085,T10,M005,Menu Item M005,Appetizer,2,5.76,2,11.52,R010,Recipe R010,Sugar - 10g; Eggs - 2pcs,11.52,dirty
P00086,03/05/2025,Online,03/05/2025,Delivery,O00086,T83,M006,Menu Item M006,Main Course,3,28.79,4,115.16,R011,Recipe R011,Flour - 100g; Butter - 20g,115.16,available
P00087,03/05/2025,Online,03/05/2025,Delivery,O00087,T19,M007,Menu Item M007,Main Course,3,24.42,4,97.67,R012,Recipe R012,Sugar - 10g; Flour - 100g,97.67,reserved
P00088,03/05/2025,Online,03/05/2025,Delivery,O00088,T66,M008,Menu Item M008,Appetizer,2,5.64,1,5.64,R013,Recipe R013,Lettuce - 30g; Flour - 100g; Tomato - 100g,5.64,dirty
P00089,04/05/2025,Credit Card,04/05/2025,Takeout,O00089,T49,M009,Menu Item M009,Appetizer,2,12.5,3,37.5,R014,Recipe R014,Butter - 20g; Eggs - 2pcs,37.5,available
P00090,04/05/2025,Online,04/05/2025,Delivery,O00090,T91,M010,Menu Item M010,Dessert,1,4.76,1,4.76,R015,Recipe R015,Sugar - 10g; Flour - 100g; Lettuce - 30g,4.76,dirty
P00091,04/05/2025,Cash,04/05/2025,Dine-in,O00091,T10,M011,Menu Item M011,Appetizer,2,12.57,1,12.57,R001,Recipe R001,Beef - 250g; Rice - 150g; Cheese - 50g,12.57,dirty
P00092,04/05/2025,Credit Card,04/05/2025,Takeout,O00092,T21,M012,Menu Item M012,Main Course,3,22.7,2,45.39,R002,Recipe R002,Rice - 150g; Tomato - 100g; Chicken - 200g,45.39,dirty
P00093,04/05/2025,Cash,04/05/2025,Dine-in,O00093,T10,M013,Menu Item M013,Dessert,1,5.94,1,5.94,R003,Recipe R003,Salt - 5g,5.94,dirty
P00094,04/05/2025,Credit Card,04/05/2025,Takeout,O00094,T01,M014,Menu Item M014,Dessert,1,9.86,3,29.59,R004,Recipe R004,Sugar - 10g; Salt - 5g,29.59,reserved
P00095,04/05/2025,Credit Card,04/05/2025,Takeout,O00095,T37,M015,Menu Item M015,Dessert,1,6.83,3,20.5,R005,Recipe R005,Tomato - 100g; Rice - 150g; Milk - 200ml,20.5,dirty
P00096,04/05/2025,Online,04/05/2025,Delivery,O00096,T34,M016,Menu Item M016,Main Course,3,32.44,3,97.32,R006,Recipe R006,Flour - 100g; Eggs - 2pcs; Lettuce - 30g,97.32,dirty
P00097,04/05/2025,Online,04/05/2025,Delivery,O00097,T92,M017,Menu Item M017,Appetizer,2,5.66,4,22.65,R007,Recipe R007,Lettuce - 30g; Eggs - 2pcs; Rice - 150g,22.65,dirty
P00098,04/05/2025,Cash,04/05/2025,Dine-in,O00098,T10,M018,Menu Item M018,Dessert,1,6.22,4,24.88,R008,Recipe R008,Sugar - 10g; Milk - 200ml,24.88,reserved
P00099,04/05/2025,Credit Card,04/05/2025,Takeout,O00099,T48,M019,Menu Item M019,Beverage,4,6.37,4,25.49,R009,Recipe R009,Rice - 150g,25.49,dirty
P00100,04/05/2025,Credit Card,04/05/2025,Takeout,O00100,T55,M020,Menu Item M020,Beverage,4,3.72,2,7.45,R010,Recipe R010,Beef - 250g; Lettuce - 30g,7.45,dirty
P00101,04/05/2025,Cash,04/05/2025,Dine-in,O00101,T10,M001,Menu Item M001,Main Course,3,28.36,1,28.36,R011,Recipe R011,Sugar - 10g,28.36,reserved
P00102,04/05/2025,Cash,04/05/2025,Dine-in,O00102,T10,M002,Menu Item M002,Main Course,3,17.31,1,17.31,R012,Recipe R012,Beef - 250g,17.31,reserved
P00103,04/05/2025,Credit Card,04/05/2025,Takeout,O00103,T40,M003,Menu Item M003,Dessert,1,9.08,3,27.23,R013,Recipe R013,Chicken - 200g; Flour - 100g,27.23,reserved
P00104,04/05/2025,Credit Card,04/05/2025,Takeout,O00104,T82,M004,Menu Item M004,Beverage,4,5.8,3,17.4,R014,Recipe R014,Chicken - 200g; Lettuce - 30g; Butter - 20g,17.4,dirty
P00105,04/05/2025,Credit Card,04/05/2025,Takeout,O00105,T72,M005,Menu Item M005,Main Course,3,18.69,1,18.69,R015,Recipe R015,Beef - 250g; Sugar - 10g; Milk - 200ml,18.69,reserved
P00106,04/05/2025,Online,04/05/2025,Delivery,O00106,T98,M006,Menu Item M006,Dessert,1,5.48,3,16.44,R001,Recipe R001,Tomato - 100g,16.44,reserved
P00107,04/05/2025,Cash,04/05/2025,Dine-in,O00107,T10,M007,Menu Item M007,Dessert,1,8.88,1,8.88,R002,Recipe R002,Flour - 100g,8.88,dirty
P00108,04/05/2025,Credit Card,04/05/2025,Takeout,O00108,T45,M008,Menu Item M008,Appetizer,2,8.43,1,8.43,R003,Recipe R003,Cheese - 50g; Sugar - 10g; Tomato - 100g,8.43,reserved
P00109,04/05/2025,Credit Card,04/05/2025,Takeout,O00109,T80,M009,Menu Item M009,Beverage,4,4.82,3,14.47,R004,Recipe R004,Tomato - 100g,14.47,dirty
P00110,04/05/2025,Cash,04/05/2025,Dine-in,O00110,T10,M010,Menu Item M010,Appetizer,2,14,2,27.99,R005,Recipe R005,Chicken - 200g; Sugar - 10g; Cheese - 50g,27.99,available
P00111,04/05/2025,Cash,04/05/2025,Dine-in,O00111,T10,M011,Menu Item M011,Appetizer,2,5.08,1,5.08,R006,Recipe R006,Butter - 20g; Salt - 5g,5.08,reserved
P00112,04/05/2025,Online,04/05/2025,Delivery,O00112,T35,M012,Menu Item M012,Main Course,3,16.39,2,32.78,R007,Recipe R007,Butter - 20g,32.78,available
P00113,04/05/2025,Cash,04/05/2025,Dine-in,O00113,T10,M013,Menu Item M013,Appetizer,2,14.97,4,59.89,R008,Recipe R008,Cheese - 50g,59.89,dirty
P00114,04/05/2025,Cash,04/05/2025,Dine-in,O00114,T10,M014,Menu Item M014,Main Course,3,33.07,1,33.07,R009,Recipe R009,Flour - 100g,33.07,reserved
P00115,04/05/2025,Credit Card,04/05/2025,Takeout,O00115,T10,M015,Menu Item M015,Main Course,3,20.13,3,60.38,R010,Recipe R010,Cheese - 50g,60.38,dirty
P00116,04/05/2025,Cash,04/05/2025,Dine-in,O00116,T10,M016,Menu Item M016,Beverage,4,2.44,1,2.44,R011,Recipe R011,Tomato - 100g; Rice - 150g; Lettuce - 30g,2.44,available
P00117,04/05/2025,Credit Card,04/05/2025,Takeout,O00117,T20,M017,Menu Item M017,Dessert,1,5.58,4,22.34,R012,Recipe R012,Butter - 20g; Rice - 150g; Beef - 250g,22.34,dirty
P00118,04/05/2025,Credit Card,04/05/2025,Takeout,O00118,T25,M018,Menu Item M018,Main Course,3,32.12,4,128.46,R013,Recipe R013,Salt - 5g,128.46,reserved
P00119,04/05/2025,Cash,04/05/2025,Dine-in,O00119,T10,M019,Menu Item M019,Appetizer,2,9.73,3,29.19,R014,Recipe R014,Milk - 200ml; Lettuce - 30g,29.19,reserved
P00120,04/05/2025,Online,04/05/2025,Delivery,O00120,T66,M020,Menu Item M020,Beverage,4,3.02,4,12.1,R015,Recipe R015,Sugar - 10g; Chicken - 200g,12.1,available
P00121,04/05/2025,Cash,04/05/2025,Dine-in,O00121,T10,M001,Menu Item M001,Appetizer,2,12.22,4,48.86,R001,Recipe R001,Eggs - 2pcs; Rice - 150g; Beef - 250g,48.86,dirty
P00122,04/05/2025,Online,04/05/2025,Delivery,O00122,T50,M002,Menu Item M002,Beverage,4,5.17,2,10.34,R002,Recipe R002,Lettuce - 30g; Chicken - 200g; Eggs - 2pcs,10.34,reserved
P00123,04/05/2025,Online,04/05/2025,Delivery,O00123,T57,M003,Menu Item M003,Appetizer,2,10.88,1,10.88,R003,Recipe R003,Tomato - 100g; Lettuce - 30g,10.88,available
P00124,04/05/2025,Online,04/05/2025,Delivery,O00124,T29,M004,Menu Item M004,Appetizer,2,10.4,2,20.8,R004,Recipe R004,Butter - 20g,20.8,reserved
P00125,04/05/2025,Cash,04/05/2025,Dine-in,O00125,T10,M005,Menu Item M005,Main Course,3,20.72,2,41.45,R005,Recipe R005,Lettuce - 30g; Beef - 250g; Salt - 5g,41.45,reserved
P00126,04/05/2025,Cash,04/05/2025,Dine-in,O00126,T10,M006,Menu Item M006,Dessert,1,9.15,4,36.6,R006,Recipe R006,Eggs - 2pcs; Rice - 150g; Tomato - 100g,36.6,dirty
P00127,04/05/2025,Online,04/05/2025,Delivery,O00127,T85,M007,Menu Item M007,Dessert,1,7.95,4,31.8,R007,Recipe R007,Salt - 5g; Tomato - 100g,31.8,reserved
P00128,04/05/2025,Cash,04/05/2025,Dine-in,O00128,T10,M008,Menu Item M008,Beverage,4,2.52,2,5.03,R008,Recipe R008,Salt - 5g; Chicken - 200g; Flour - 100g,5.03,dirty
P00129,04/05/2025,Credit Card,04/05/2025,Takeout,O00129,T24,M009,Menu Item M009,Dessert,1,6.52,4,26.06,R009,Recipe R009,Milk - 200ml,26.06,reserved
P00130,04/05/2025,Credit Card,04/05/2025,Takeout,O00130,T10,M010,Menu Item M010,Beverage,4,4.83,4,19.31,R010,Recipe R010,Salt - 5g; Cheese - 50g; Sugar - 10g,19.31,available
P00131,04/05/2025,Online,04/05/2025,Delivery,O00131,T62,M011,Menu Item M011,Dessert,1,5.4,1,5.4,R011,Recipe R011,Lettuce - 30g; Sugar - 10g; Eggs - 2pcs,5.4,reserved
P00132,04/05/2025,Credit Card,04/05/2025,Takeout,O00132,T07,M012,Menu Item M012,Main Course,3,37.8,2,75.59,R012,Recipe R012,Beef - 250g; Lettuce - 30g; Chicken - 200g,75.59,dirty
P00133,04/05/2025,Cash,04/05/2025,Dine-in,O00133,T10,M013,Menu Item M013,Beverage,4,5.95,4,23.8,R013,Recipe R013,Lettuce - 30g; Beef - 250g; Butter - 20g,23.8,dirty
P00134,04/05/2025,Cash,04/05/2025,Dine-in,O00134,T10,M014,Menu Item M014,Dessert,1,3.48,2,6.96,R014,Recipe R014,Salt - 5g; Cheese - 50g; Milk - 200ml,6.96,available
P00135,04/05/2025,Cash,04/05/2025,Dine-in,O00135,T10,M015,Menu Item M015,Appetizer,2,14.1,2,28.21,R015,Recipe R015,Butter - 20g,28.21,reserved
P00136,04/05/2025,Cash,04/05/2025,Dine-in,O00136,T10,M016,Menu Item M016,Dessert,1,4.59,1,4.59,R001,Recipe R001,Salt - 5g,4.59,reserved
P00137,04/05/2025,Cash,04/05/2025,Dine-in,O00137,T10,M017,Menu Item M017,Appetizer,2,7.06,1,7.06,R002,Recipe R002,Salt - 5g,7.06,available
P00138,04/05/2025,Credit Card,04/05/2025,Takeout,O00138,T67,M018,Menu Item M018,Main Course,3,26.64,3,79.93,R003,Recipe R003,Flour - 100g; Eggs - 2pcs,79.93,reserved
P00139,04/05/2025,Credit Card,04/05/2025,Takeout,O00139,T89,M019,Menu Item M019,Dessert,1,7.04,4,28.17,R004,Recipe R004,Tomato - 100g,28.17,reserved
